x,Normalized Accuracy,Model Size (MB),Time Usage
"[0, 35, 69, 38, 8, 40, 41, 17, 49, 19, 20, 21, 22, 30, 25, 62, 63]",0.2647,87241.66,1900.0
"[2, 6, 13, 18, 25, 33, 38, 43, 45, 46, 48, 49, 52, 54, 58, 68, 70, 74, 78]",0.3812,74185.4,2000.0
"[64, 65, 26, 6, 59, 42, 13, 14, 46, 17, 50, 19, 20, 22, 58, 27, 28, 62]",0.3609,83977.6,2800.0
"[32, 35, 38, 7, 39, 9, 44, 12, 14, 47, 15, 45, 50, 53, 22, 56, 60, 29]",0.3058,79081.5,3050.0
"[68, 5, 6, 39, 37, 72, 12, 44, 15, 48, 29, 20, 52, 62, 24, 57, 61, 25]",0.458,79081.5,2250.0
"[64, 33, 35, 70, 39, 8, 43, 44, 45, 46, 29, 19, 52, 53, 54, 23, 27, 61]",0.4712,82345.56,2199.9999999999995
"[34, 36, 37, 6, 7, 39, 72, 42, 68, 75, 45, 46, 47, 16, 56, 26, 60, 62]",0.5357,80713.53,2000.0
"[32, 65, 35, 36, 38, 42, 43, 60, 48, 17, 50, 21, 22, 54, 25, 28, 30]",0.4756,82345.56,2050.0
"[12, 14, 15, 19, 22, 33, 34, 35, 37, 43, 45, 51, 52, 55, 56, 58, 59, 60, 65]",0.415,82345.56,2150.0000000000005
"[4, 6, 40, 41, 74, 44, 14, 17, 50, 49, 51, 53, 62, 25, 58, 30, 57]",0.2662,83977.6,2150.0000000000005
"[1, 34, 26, 66, 40, 41, 74, 47, 15, 17, 49, 18, 21, 53, 55, 57, 58]",0.2663,82345.56,2050.0
