x,Normalized Accuracy,Model Size (MB),Time Usage
"[4, 5, 11, 14, 15, 19, 23, 25, 26, 27, 28, 29, 30, 33, 34, 35, 36, 39, 40, 41, 42, 43, 46, 47, 61, 66, 76]",0.2639,69289.31,1750.0
"[10, 14, 19, 22, 25, 29, 30, 32, 33, 35, 37, 38, 42, 47, 50, 58, 59, 61, 62, 64, 71, 73]",0.3516,69289.31,1650.0
"[2, 12, 16, 19, 20, 22, 23, 26, 27, 28, 29, 33, 35, 39, 42, 43, 44, 47, 52, 53, 54, 57, 59, 63, 65, 69]",0.272,62761.18,1450.0
"[7, 14, 18, 20, 23, 25, 28, 29, 36, 39, 41, 42, 46, 49, 54, 55, 56, 57, 60, 64, 65, 71]",0.3613,70921.34,1700.0
"[14, 15, 17, 20, 23, 24, 26, 27, 29, 31, 32, 33, 34, 36, 37, 41, 44, 49, 50, 53, 61, 63, 70, 71]",0.3337,69289.31,1900.0
"[14, 21, 22, 24, 25, 26, 30, 32, 33, 37, 38, 39, 40, 43, 45, 46, 47, 54, 55, 57, 65, 73]",0.4861,77449.47,1500.0
"[14, 21, 22, 24, 25, 26, 30, 33, 37, 38, 39, 40, 43, 45, 46, 47, 54, 56, 57, 65, 73]",0.497,79081.5,1850.0
"[28, 30, 31, 32, 36, 43, 47, 50, 51, 52, 53, 54, 55, 56, 59, 60, 62, 64, 65, 66, 70, 73, 74, 75]",0.4811,75817.44,1800.0
"[14, 21, 22, 24, 25, 26, 30, 32, 33, 37, 38, 39, 40, 43, 45, 46, 47, 54, 55, 57, 65, 73]",0.4861,77449.47,1550.0000000000005
"[12, 14, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 33, 35, 36, 37, 38, 43, 45, 48, 71]",0.3554,79081.5,1900.0
"[14, 21, 22, 24, 25, 26, 30, 32, 33, 37, 38, 39, 40, 43, 45, 46, 47, 54, 55, 57, 65, 73]",0.4861,77449.47,1800.0
