x,Normalized Accuracy,Model Size (MB),Time Usage
"[10, 17, 18, 19, 28, 30, 32, 34, 35, 38, 40, 41, 42, 45, 46, 52, 53, 54, 55, 58, 60, 62, 63, 76]",0.4112,70921.34,1550.0000000000005
"[9, 12, 15, 22, 26, 27, 30, 34, 37, 38, 40, 41, 42, 43, 45, 46, 47, 49, 51, 52, 53, 54, 56, 59, 69, 71, 72]",0.2666,54601.02,1200.0
"[7, 10, 14, 15, 16, 18, 20, 24, 26, 27, 29, 33, 34, 35, 36, 40, 41, 42, 43, 46, 47, 48, 49, 50, 52, 53, 55, 56, 57, 66, 67, 68]",0.2632,57865.08,1200.0
"[12, 13, 16, 17, 20, 21, 22, 25, 29, 30, 31, 32, 35, 37, 39, 40, 44, 45, 46, 47, 48, 50, 51, 55, 59, 61, 67]",0.2891,66025.24,1500.0
"[2, 11, 16, 18, 19, 22, 26, 27, 29, 30, 32, 35, 36, 37, 38, 40, 44, 45, 46, 48, 50, 52, 53, 54, 58, 59, 63]",0.2675,62761.18,1500.0
"[12, 13, 16, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 41, 42, 45, 46, 49, 52, 55, 60, 61, 68, 73]",0.3458,62761.18,1550.0000000000005
"[11, 12, 15, 19, 20, 22, 23, 27, 29, 35, 36, 39, 40, 44, 45, 46, 47, 48, 49, 50, 51, 53, 55, 56, 60, 61, 65, 67]",0.2858,64393.21,1450.0
"[13, 16, 17, 20, 21, 23, 25, 27, 28, 30, 31, 36, 37, 38, 39, 40, 41, 43, 47, 49, 52, 53, 54, 57, 59, 63, 71]",0.2937,62761.18,1350.0
"[1, 8, 9, 17, 21, 25, 27, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 46, 48, 49, 51, 52, 53, 66, 68]",0.261,67657.27,1500.0
"[6, 11, 19, 20, 22, 23, 26, 27, 28, 29, 30, 32, 35, 37, 38, 39, 41, 42, 43, 44, 45, 46, 49, 52, 53, 58, 60, 61, 68, 73]",0.3081,59497.11,1250.0
"[11, 15, 19, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 36, 37, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 56, 58, 59, 71]",0.339,66025.24,1250.0
