x,Normalized Accuracy,Model Size (MB),Time Usage
"[6, 8, 12, 16, 18, 23, 24, 25, 27, 29, 30, 33, 34, 35, 37, 38, 40, 41, 42, 46, 47, 49, 51, 53, 55, 56, 58, 61, 62, 63]",0.2666,54601.02,1200.0
"[1, 10, 15, 16, 18, 21, 25, 28, 29, 30, 32, 33, 34, 35, 39, 40, 41, 45, 46, 47, 50, 51, 53, 56, 59, 60, 61, 68, 70]",0.2632,57865.08,1450.0
"[4, 8, 20, 21, 22, 23, 24, 25, 26, 27, 28, 33, 35, 38, 39, 41, 42, 43, 45, 46, 47, 48, 50, 52, 53, 55, 56, 57, 64]",0.265,66025.24,1450.0
"[3, 8, 12, 14, 16, 18, 22, 23, 25, 27, 28, 30, 33, 35, 36, 39, 41, 42, 43, 45, 48, 49, 50, 51, 52, 53, 54, 56, 58, 60, 67, 69]",0.2586,46440.85,1000.0
"[1, 13, 15, 17, 19, 24, 25, 26, 28, 30, 32, 35, 36, 38, 40, 41, 43, 46, 50, 51, 53, 54, 58, 59, 60, 62, 65, 68]",0.2639,54601.02,1400.0
"[6, 9, 13, 14, 15, 16, 22, 23, 26, 30, 32, 34, 35, 36, 37, 39, 41, 42, 44, 45, 46, 47, 49, 51, 53, 54, 58, 60, 65, 71, 73]",0.2604,51336.95,1350.0
"[3, 8, 12, 14, 16, 18, 22, 23, 25, 27, 28, 30, 33, 35, 36, 39, 41, 42, 43, 45, 48, 49, 50, 51, 52, 53, 54, 56, 58, 60, 67, 69]",0.2586,46440.85,1100.0
"[2, 4, 6, 7, 10, 12, 14, 15, 18, 20, 22, 23, 24, 26, 29, 30, 32, 34, 35, 36, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 52, 53, 57, 60]",0.2626,48072.89,1050.0
"[3, 8, 12, 14, 16, 18, 22, 23, 25, 27, 28, 30, 33, 35, 36, 39, 41, 42, 43, 45, 48, 49, 50, 51, 52, 53, 54, 56, 58, 60, 67, 69]",0.2586,46440.85,949.9999999999995
"[2, 4, 6, 10, 14, 15, 16, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 34, 36, 38, 39, 41, 46, 47, 48, 49, 50, 52, 54, 57, 58, 60, 67]",0.2649,48072.89,1100.0
"[3, 8, 12, 14, 16, 18, 22, 23, 25, 27, 28, 30, 33, 35, 36, 39, 41, 42, 43, 45, 48, 49, 50, 51, 52, 53, 54, 56, 58, 60, 67, 69]",0.2586,46440.85,1100.0
